start,open,high,low,close,volume,trades,action
1546300800000,3701.23,3713,3689.88,3700.31,686.3674199999999,5292,1
1546304400000,3700.2,3702.73,3684.22,3689.69,613.539115,4798,1
1546308000000,3689.67,3695.95,3675.04,3690,895.3021809999998,6129,1
1546311600000,3690,3699.77,3685.78,3693.13,796.7148179999999,5421,1
1546315200000,3692.32,3720,3685.94,3692.71,1317.4529089999999,7580,1
1546318800000,3693.98,3704.44,3692.73,3699.94,572.4022280000003,3622,1
1546322400000,3699.95,3713.93,3697,3703.56,660.279771,4573,1
1546326000000,3703.63,3726.64,3703.34,3713.83,823.6254910000001,4976,1
1546329600000,3714.19,3731.19,3707,3716.7,887.1013619999995,5825,1
1546333200000,3716.98,3732,3696.14,3699.95,955.8790339999999,5288,1
1546336800000,3699.96,3717.11,3698,3713.07,534.113945,3822,1
1546340400000,3713.07,3722.22,3706.88,3707.54,600.664642,4567,1
1546344000000,3707.56,3725,3698.25,3717,654.2777099999998,4512,1
1546347600000,3717,3756.94,3708.41,3715.93,941.7856950000004,5617,1
1546351200000,3715.23,3717,3684.21,3698.53,1127.3666320000007,6507,1
1546354800000,3698.28,3698.87,3666.01,3682.61,996.6885319999999,6350,1
1546358400000,3683,3696.23,3677.48,3693.54,629.1802800000002,4402,1
1546362000000,3693.5,3701.68,3675.01,3686.32,380.215487,3956,1
1546365600000,3686.34,3686.35,3642,3659.41,1083.207096,6693,1
1546369200000,3659.56,3699.99,3659.56,3696.73,1155.5131119999996,6638,1
1546372800000,3696.71,3726.93,3675.67,3719,2021.1709479999988,11042,1
1546376400000,3719,3730.01,3700,3708.21,1105.501735,6774,1
1546380000000,3707.98,3717.07,3692.42,3711.2,624.620136,5489,1
1546383600000,3712.85,3810.16,3706.43,3797.14,3678.716754000002,15611,1
1546387200000,3796.45,3810,3763.75,3778.02,2094.025159,9950,1
1546390800000,3778.62,3792,3765.75,3770,912.8111129999998,5875,1
1546394400000,3769.98,3785.1,3768,3783.28,719.3027570000003,5145,1
1546398000000,3783.28,3796.22,3773.79,3779.98,770.3680669999998,5358,1
1546401600000,3780,3788.31,3765,3776.41,748.2602090000005,5526,1
1546405200000,3776.16,3778.42,3768,3773.04,415.8495129999999,4821,1
1546408800000,3773.04,3775,3750.45,3758.53,916.9860579999998,6368,1
1546412400000,3758.53,3778.54,3755.4,3771.08,1338.7947400000003,9315,1
1546416000000,3772.64,3800,3770.09,3781.35,2216.579224999999,13968,1
1546419600000,3780.81,3786.24,3770,3775,1483.6278470000002,8153,1
1546423200000,3773.84,3794.4,3770.03,3788,1117.1365929999995,7900,1
1546426800000,3788.22,3803.68,3777.82,3787.97,1395.9416550000003,8477,1
1546430400000,3788.81,3793.72,3778.23,3792.51,1179.766158,6948,1
1546434000000,3793.12,3839.63,3790.82,3825.65,2589.868431,12943,0
1546437600000,3825.19,3834.26,3796.51,3811.24,2325.6540930000006,10351,0
1546441200000,3812.17,3815,3785.75,3801.28,1359.581327,8093,1
1546444800000,3802.61,3865.72,3795,3824.89,2696.187308,12696,0
1546448400000,3824.89,3845.78,3811.01,3822.6,2166.3285610000003,10438,0
1546452000000,3822.62,3833,3807,3828.87,1203.5903089999997,7624,0
1546455600000,3827.22,3830.19,3801.14,3824.98,921.4759939999997,7069,0
1546459200000,3824.98,3854.35,3812.34,3849,1189.4276059999997,8366,0
1546462800000,3849.27,3876,3830.06,3856.68,1770.7906389999994,10198,0
1546466400000,3857.36,3876,3842.46,3862.12,1464.3034959999998,9229,0
1546470000000,3861.62,3882.14,3851,3858.56,2159.8065110000002,12574,0
